NAME_1,NAME_2,lon,lat,F.dap,F,FDATE,FMCD,FACD,FDEP,FAMN,FAMP,FAMK,FAMC,FAMO,FOCD,FERNAME,q25,q50,q75
Kisumu,Nyando,34.675,-0.225,42,2,NA,FE006,AP004,5,47,44,0,-99,-99,-99,2nd fert. 2nd application,64,66,75
Kisumu,Nyando,34.675,-0.225,0,1,NA,FE006,AP004,5,35,33,0,-99,-99,-99,3rd fert. 1st application,64,66,75
Kisumu,Nyando,34.675,-0.225,42,2,NA,FE006,AP004,5,59,55,0,-99,-99,-99,3rd fert. 2nd application,64,66,75
Kisumu,Nyando,34.725,-0.225,0,1,NA,FE006,AP004,5,54,42,0,-99,-99,-99,1st fert. 1st application,63,65,68
Kisumu,Nyando,34.725,-0.225,42,2,NA,FE006,AP004,5,32,25,0,-99,-99,-99,1st fert. 2nd application,63,65,68
Kisumu,Nyando,34.725,-0.225,0,1,NA,FE006,AP004,5,43,33,0,-99,-99,-99,2nd fert. 1st application,63,65,68
Kisumu,Nyando,34.725,-0.225,42,2,NA,FE006,AP004,5,43,33,0,-99,-99,-99,2nd fert. 2nd application,63,65,68
Kisumu,Nyando,34.725,-0.225,0,1,NA,FE006,AP004,5,32,25,0,-99,-99,-99,3rd fert. 1st application,63,65,68
Kisumu,Nyando,34.725,-0.225,42,2,NA,FE006,AP004,5,54,42,0,-99,-99,-99,3rd fert. 2nd application,63,65,68
Kisumu,Nyando,34.775,-0.225,0,1,NA,FE006,AP004,5,30,49,0,-99,-99,-99,1st fert. 1st application,63,67,68
Kisumu,Nyando,34.775,-0.225,42,2,NA,FE006,AP004,5,18,30,0,-99,-99,-99,1st fert. 2nd application,63,67,68
Kisumu,Nyando,34.775,-0.225,0,1,NA,FE006,AP004,5,24,40,0,-99,-99,-99,2nd fert. 1st application,63,67,68
Kisumu,Nyando,34.775,-0.225,42,2,NA,FE006,AP004,5,24,40,0,-99,-99,-99,2nd fert. 2nd application,63,67,68
Kisumu,Nyando,34.775,-0.225,0,1,NA,FE006,AP004,5,18,30,0,-99,-99,-99,3rd fert. 1st application,63,67,68
Kisumu,Nyando,34.775,-0.225,42,2,NA,FE006,AP004,5,30,49,0,-99,-99,-99,3rd fert. 2nd application,63,67,68
Kisumu,Nyando,34.825,-0.225,0,1,NA,FE006,AP004,5,70,73,0,-99,-99,-99,1st fert. 1st application,63,65,69
Kisumu,Nyando,34.825,-0.225,42,2,NA,FE006,AP004,5,42,44,0,-99,-99,-99,1st fert. 2nd application,63,65,69
Kisumu,Nyando,34.825,-0.225,0,1,NA,FE006,AP004,5,56,58,0,-99,-99,-99,2nd fert. 1st application,63,65,69
Kisumu,Nyando,34.825,-0.225,42,2,NA,FE006,AP004,5,56,58,0,-99,-99,-99,2nd fert. 2nd application,63,65,69
Kisumu,Nyando,34.825,-0.225,0,1,NA,FE006,AP004,5,42,44,0,-99,-99,-99,3rd fert. 1st application,63,65,69
Kisumu,Nyando,34.825,-0.225,42,2,NA,FE006,AP004,5,70,73,0,-99,-99,-99,3rd fert. 2nd application,63,65,69
Kisumu,Nyando,34.875,-0.225,0,1,NA,FE006,AP004,5,37,49,0,-99,-99,-99,1st fert. 1st application,61,65,77
Kisumu,Nyando,34.875,-0.225,42,2,NA,FE006,AP004,5,22,29,0,-99,-99,-99,1st fert. 2nd application,61,65,77
Kisumu,Nyando,34.875,-0.225,0,1,NA,FE006,AP004,5,30,39,0,-99,-99,-99,2nd fert. 1st application,61,65,77
